File,Solver,Logic,Result,Execution Time (s)
solver_model_electronic-circuit_120.smt,z3,default,sat,1.28
solver_model_electronic-circuit_120.smt,z3,QF_LIA,sat,1.35
solver_model_electronic-circuit_120.smt,z3,QF_LRA,sat,1.18
solver_model_electronic-circuit_120.smt,z3,QF_UFLIA,sat,1.48
solver_model_electronic-circuit_120.smt,z3,QF_IDL,sat,1.04
solver_model_electronic-circuit_120.smt,z3,QF_RDL,sat,1.26
solver_model_electronic-circuit_120.smt,z3,QF_UF,sat,1.38
solver_model_electronic-circuit_120.smt,z3,QF_BV,sat,1.19
solver_model_electronic-circuit_120.smt,z3,QF_AUFBV,sat,1.73
solver_model_electronic-circuit_120.smt,cvc5,default,sat,8.50
solver_model_electronic-circuit_120.smt,cvc5,QF_LIA,sat,5.45
solver_model_electronic-circuit_120.smt,cvc5,QF_LRA,unknown,0.02
solver_model_electronic-circuit_120.smt,cvc5,QF_UFLIA,sat,26.57
solver_model_electronic-circuit_120.smt,cvc5,QF_IDL,sat,9.11
solver_model_electronic-circuit_120.smt,cvc5,QF_RDL,unknown,0.02
solver_model_electronic-circuit_120.smt,cvc5,QF_UF,unknown,0.02
solver_model_electronic-circuit_120.smt,cvc5,QF_BV,unknown,0.02
solver_model_electronic-circuit_120.smt,cvc5,QF_AUFBV,unknown,0.02
solver_model_electronic-circuit_120.smt,yices,default,sat,0.23
solver_model_electronic-circuit_120.smt,yices,QF_LIA,sat,0.22
solver_model_electronic-circuit_120.smt,yices,QF_LRA,sat,0.30
solver_model_electronic-circuit_120.smt,yices,QF_UFLIA,sat,0.77
solver_model_electronic-circuit_120.smt,yices,QF_IDL,sat,0.20
solver_model_electronic-circuit_120.smt,yices,QF_RDL,sat,0.33
solver_model_electronic-circuit_120.smt,yices,QF_UF,unknown,0.02
solver_model_electronic-circuit_120.smt,yices,QF_BV,unknown,0.02
solver_model_electronic-circuit_120.smt,yices,QF_AUFBV,unknown,0.02
